INFO  | 2025-01-31 15:49:54 | [background-preinit] util.Version (Version.java:21) - HV000001: Hibernate Validator 8.0.2.Final
INFO  | 2025-01-31 15:49:54 | [main] boot.StartupInfoLogger (StartupInfoLogger.java:50) - Starting LabApplication using Java 21.0.4 with PID 33800 (C:\Users\lasya.talasila\OneDrive - Körber Supply Chain Software\Desktop\maven_test\learning_aop\learningBankApplication\lab\target\classes started by lasya.talasila in C:\Users\lasya.talasila\OneDrive - Körber Supply Chain Software\Desktop\maven_test\learning_aop\learningBankApplication\lab)
INFO  | 2025-01-31 15:49:54 | [main] boot.SpringApplication (SpringApplication.java:654) - No active profile set, falling back to 1 default profile: "default"
INFO  | 2025-01-31 15:49:55 | [main] config.RepositoryConfigurationDelegate (RepositoryConfigurationDelegate.java:143) - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
INFO  | 2025-01-31 15:49:55 | [main] config.RepositoryConfigurationDelegate (RepositoryConfigurationDelegate.java:211) - Finished Spring Data repository scanning in 43 ms. Found 1 JPA repository interface.
INFO  | 2025-01-31 15:49:56 | [main] tomcat.TomcatWebServer (TomcatWebServer.java:111) - Tomcat initialized with port 8080 (http)
INFO  | 2025-01-31 15:49:56 | [main] logging.DirectJDKLog (DirectJDKLog.java:173) - Initializing ProtocolHandler ["http-nio-8080"]
INFO  | 2025-01-31 15:49:56 | [main] logging.DirectJDKLog (DirectJDKLog.java:173) - Starting service [Tomcat]
INFO  | 2025-01-31 15:49:56 | [main] logging.DirectJDKLog (DirectJDKLog.java:173) - Starting Servlet engine: [Apache Tomcat/10.1.34]
INFO  | 2025-01-31 15:49:56 | [main] logging.DirectJDKLog (DirectJDKLog.java:173) - Initializing Spring embedded WebApplicationContext
INFO  | 2025-01-31 15:49:56 | [main] context.ServletWebServerApplicationContext (ServletWebServerApplicationContext.java:296) - Root WebApplicationContext: initialization completed in 1975 ms
INFO  | 2025-01-31 15:49:57 | [main] util.LogHelper (LogHelper.java:31) - HHH000204: Processing PersistenceUnitInfo [name: default]
INFO  | 2025-01-31 15:49:57 | [main] hibernate.Version (Version.java:44) - HHH000412: Hibernate ORM core version 6.5.3.Final
INFO  | 2025-01-31 15:49:57 | [main] internal.RegionFactoryInitiator (RegionFactoryInitiator.java:50) - HHH000026: Second-level cache disabled
INFO  | 2025-01-31 15:49:57 | [main] persistenceunit.SpringPersistenceUnitInfo (SpringPersistenceUnitInfo.java:87) - No LoadTimeWeaver setup: ignoring JPA class transformer
INFO  | 2025-01-31 15:49:57 | [main] hikari.HikariDataSource (HikariDataSource.java:109) - HikariPool-1 - Starting...
INFO  | 2025-01-31 15:49:58 | [main] pool.HikariPool (HikariPool.java:554) - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@65698020
